"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","Genus"
"s__Bifidobacterium swidsinskii","Diabetes","Diabetes",-0.913767407366844,1.18590560677073,0.442901796659433,"Diabetes",0.907305649826281,101,43,"g__Bifidobacterium"
"s__Rothia dentocariosa","KidneyDisease","KidneyDisease",0.449630148417141,0.585082497779626,0.444102239125496,"KidneyDisease",0.907305649826281,101,12,"g__Rothia"
"s__Bifidobacterium piotii","KidneyDisease","KidneyDisease",0.466915331669349,0.655325891488447,0.477905637182413,"KidneyDisease",0.921848437204654,101,19,"g__Bifidobacterium"
"s__Lawsonella sp018376445","Periodontitis","Periodontitis",-0.832173748067871,1.14169356955287,0.467859549554526,"Periodontitis",0.921848437204654,101,24,"g__Lawsonella"
"s__Prevotella jejuni","KidneyDisease","KidneyDisease",0.342243582429482,0.462854963662376,0.461476025800894,"KidneyDisease",0.921848437204654,101,16,"g__Prevotella"
"s__Prevotella melaninogenica_A","Diabetes","Diabetes",0.22687685882353,0.316988694518483,0.47591645209554,"Diabetes",0.921848437204654,101,11,"g__Prevotella"
"s__Porphyromonas endodontalis","Diabetes","Diabetes",0.393615144032099,0.52842007578243,0.45817668591127,"Diabetes",0.921848437204654,101,13,"g__Porphyromonas"
"s__Rothia dentocariosa","Diabetes","Diabetes",-0.361166348961944,0.525991180060166,0.493982522367881,"Diabetes",0.926566813321739,101,12,"g__Rothia"
"s__Prevotella histicola","Periodontitis","Periodontitis",-0.54284440108515,0.802343979659192,0.500320823505374,"Periodontitis",0.926566813321739,101,22,"g__Prevotella"
"s__Prevotella salivae","Periodontitis","Periodontitis",-0.185536639189704,0.271173164116168,0.495514660558241,"Periodontitis",0.926566813321739,101,14,"g__Prevotella"
"s__Prevotella timonensis","Diabetes","Diabetes",0.569654381603379,0.855746089510898,0.507227776318908,"Diabetes",0.926566813321739,101,24,"g__Prevotella"
"s__Porphyromonas endodontalis","KidneyDisease","KidneyDisease",0.371447917088635,0.587784262428733,0.52894002582604,"KidneyDisease",0.926566813321739,101,13,"g__Porphyromonas"
"s__Porphyromonas pasteri","Diabetes","Diabetes",0.609140413809625,0.906141734315002,0.503065638300867,"Diabetes",0.926566813321739,101,90,"g__Porphyromonas"
"s__Lactobacillus iners","KidneyDisease","KidneyDisease",-0.630224770354515,0.927227592748378,0.498355369447816,"KidneyDisease",0.926566813321739,101,21,"g__Lactobacillus"
"s__CAISGS01 sp017418605","Periodontitis","Periodontitis",0.223696848719869,0.348102042356205,0.522019516337084,"Periodontitis",0.926566813321739,101,101,"g__CAISGS01"
"s__Acidovorax_A wautersii","Diabetes","Diabetes",-0.653996515009159,1.00076565788602,0.515015078358853,"Diabetes",0.926566813321739,101,31,"g__Acidovorax_A"
"s__Comamonas tsuruhatensis","KidneyDisease","KidneyDisease",-0.608008167292768,0.912009421939999,0.506599658426794,"KidneyDisease",0.926566813321739,101,94,"g__Comamonas"
"g__Neisseria_HROM_Genome_4837","Diabetes","Diabetes",0.32522589687051,0.513563018140547,0.528076594066823,"Diabetes",0.926566813321739,101,28,"g__Neisseria"
"s__Neisseria sp000186165","KidneyDisease","KidneyDisease",0.619920763957254,0.968783178047228,0.523780261332448,"KidneyDisease",0.926566813321739,101,53,"g__Neisseria"
"s__Neisseria subflava_C","KidneyDisease","KidneyDisease",0.3592457043404,0.562869264295074,0.524853006103706,"KidneyDisease",0.926566813321739,101,27,"g__Neisseria"
"s__Pauljensenia sp000278725","Diabetes","Diabetes",-0.151929721730174,0.291776585134979,0.603783362351707,"Diabetes",0.927352145723264,101,11,"g__Pauljensenia"
"s__Bifidobacterium swidsinskii","Periodontitis","Periodontitis",0.817022240774759,1.55154634267401,0.599708627105075,"Periodontitis",0.927352145723264,101,43,"g__Bifidobacterium"
"s__Corynebacterium argentoratense","Periodontitis","Periodontitis",0.222708044217975,0.368107677535766,0.546616230333582,"Periodontitis",0.927352145723264,101,12,"g__Corynebacterium"
"s__Lawsonella sp018376445","Diabetes","Diabetes",0.510121726386955,0.872639616431561,0.560220473642164,"Diabetes",0.927352145723264,101,24,"g__Lawsonella"
"s__Alloprevotella sp015259235","Periodontitis","Periodontitis",0.270063385704894,0.501894173977223,0.591774525618777,"Periodontitis",0.927352145723264,101,20,"g__Alloprevotella"
"s__Alloprevotella sp900095835","KidneyDisease","KidneyDisease",0.506288977642341,0.83870047439605,0.547509175697567,"KidneyDisease",0.927352145723264,101,45,"g__Alloprevotella"
"s__Prevotella pallens","Periodontitis","Periodontitis",0.536195202937426,1.03599633348746,0.605965073810424,"Periodontitis",0.927352145723264,101,76,"g__Prevotella"
"s__Prevotella pallens","KidneyDisease","KidneyDisease",0.500997563979311,0.880809994114868,0.57083962450527,"KidneyDisease",0.927352145723264,101,76,"g__Prevotella"
"s__Prevotella salivae","Diabetes","Diabetes",-0.106769642371413,0.207267915167064,0.607659695487086,"Diabetes",0.927352145723264,101,14,"g__Prevotella"
