feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F1090	Periodontitis	Periodontitis	1.69833872769735	0.591768481098983	101	93	0.00506048737179788	0.188720485718845
F1133	Sex	M	1.49082023121759	0.521774203582942	101	98	0.00525083529204287	0.188720485718845
F1185	Diabetes	Diabetes	-2.02625549912358	0.713544860497787	101	101	0.00552352641128327	0.188720485718845
F1186	Periodontitis	Periodontitis	3.00631348579677	1.05764651333743	101	92	0.00547981396826597	0.188720485718845
F29	Periodontitis	Periodontitis	-1.69286593302562	0.59700242759565	101	53	0.0055891152860817	0.189493011085164
F728	KidneyDisease	KidneyDisease	-1.69166527737531	0.596849908961241	101	67	0.00560988560992242	0.189493011085164
F82	Diabetes	Diabetes	-2.37611597583234	0.84224556784996	101	96	0.0058262753266183	0.190949656145757
F286	Periodontitis	Periodontitis	2.07854611523242	0.737450295414666	101	93	0.00587010775561164	0.190949656145757
F354	KidneyDisease	KidneyDisease	0.978022935662613	0.345697394835001	101	101	0.00569440361053781	0.190949656145757
F443	Diabetes	Diabetes	-1.49259097919008	0.52884163844112	101	74	0.00580605276637491	0.190949656145757
F931	Periodontitis	Periodontitis	1.88130389967714	0.667579135389292	101	26	0.00587784475604266	0.190949656145757
F938	Diabetes	Diabetes	-1.70011187783901	0.60127289438053	101	82	0.0057208278692409	0.190949656145757
F1107	Periodontitis	Periodontitis	1.54410101710177	0.546480304811415	101	44	0.00575354913839812	0.190949656145757
F132	Diabetes	Diabetes	0.842173647923254	0.299986247329559	101	11	0.00606135316147847	0.191674173111646
F462	Age	Age	0.0625589885226308	0.0222800795399149	101	70	0.00605320494762642	0.191674173111646
F514	KidneyDisease	KidneyDisease	1.40478629883117	0.499895089759176	101	24	0.00601314904535207	0.191674173111646
F1100	Sex	M	1.28492683665955	0.457675351933548	101	98	0.00605904579698694	0.191674173111646
F1131	Diabetes	Diabetes	-1.51660307342513	0.538788539984577	101	98	0.00593307417430783	0.191674173111646
F2	Periodontitis	Periodontitis	-2.16537957907118	0.773279774847069	101	47	0.00618607205550545	0.192855219909936
F411	KidneyDisease	KidneyDisease	1.83461905152699	0.655293316820641	101	89	0.0061960213629601	0.192855219909936
F446	KidneyDisease	KidneyDisease	-1.95621469411984	0.69820742082362	101	98	0.00615936697897785	0.192855219909936
F198	Sex	M	1.24861558766575	0.446430118562855	101	100	0.00624581624819883	0.193392591643448
F140	Sex	M	0.616300451047139	0.221197863380114	101	14	0.00643923040871905	0.198348314921424
F305	Diabetes	Diabetes	-2.00117423462415	0.719555563421791	101	88	0.00653282675719752	0.199167461905329
F733	Age	Age	-0.0922734906927429	0.0331628416671565	101	38	0.00650850939777751	0.199167461905329
F196	Sex	M	1.43346472309185	0.516112755790154	101	98	0.00660191308247824	0.200246802425169
F758	KidneyDisease	KidneyDisease	-1.97384134679925	0.711760214366406	101	101	0.00668195160544194	0.201645696925646
F88	Diabetes	Diabetes	-2.52462916152222	0.912951708100858	101	75	0.00683210142553235	0.203995256623289
F193	Diabetes	Diabetes	-1.41125777759726	0.510405482274447	101	99	0.00683934893027665	0.203995256623289
F289	Sex	M	-1.34508027522539	0.487611508553428	101	81	0.00696569168957572	0.203995256623289
F313	Sex	M	-0.995605313676698	0.360698979652145	101	101	0.00693220937202439	0.203995256623289
F651	KidneyDisease	KidneyDisease	-1.8081290147321	0.654578959417192	101	42	0.00689177047928447	0.203995256623289
F699	KidneyDisease	KidneyDisease	-1.71655096085506	0.622245010646403	101	99	0.00696306116777406	0.203995256623289
F686	Periodontitis	Periodontitis	2.53433343650976	0.920686761895745	101	87	0.00708188605411408	0.206381434273079
F715	Diabetes	Diabetes	-2.09236580280067	0.761973859617431	101	101	0.0072165510477517	0.209279980384799
F194	Sex	M	1.54568716836089	0.564262008973039	101	97	0.00735352969801289	0.212217155605275
F351	KidneyDisease	KidneyDisease	-2.48639863698166	0.908354997709882	101	84	0.00739614726158347	0.212415920145477
F598	Periodontitis	Periodontitis	1.57239540036492	0.575485991688331	101	96	0.00750009209883166	0.214365613113242
F1120	Sex	M	1.25787566258253	0.460923976246767	101	61	0.00756910703124064	0.215303068424524
F1025	Periodontitis	Periodontitis	-2.15454994856155	0.791006304596791	101	74	0.00768083646081264	0.217440822664434
F53	Sex	M	1.36634396662817	0.502305491813188	101	85	0.00776011530420693	0.217612667375048
F815	KidneyDisease	KidneyDisease	1.75122709237295	0.643476090408842	101	96	0.00773048155616852	0.217612667375048
F112	KidneyDisease	KidneyDisease	-2.14646059705101	0.789660003388366	101	79	0.00780232926224215	0.217769236920327
F191	Sex	M	1.28389963600302	0.472737003581506	101	100	0.00785323501336769	0.218165804460145
F86	Periodontitis	Periodontitis	4.37302605144933	1.61385988674247	101	56	0.0079909589361325	0.218922815093584
F140	Diabetes	Diabetes	-0.669273476609517	0.246904151305414	101	14	0.00796883307433288	0.218922815093584
F314	Sex	M	-1.38863078315537	0.511864084609619	101	90	0.00791933580068428	0.218922815093584
F278	Diabetes	Diabetes	-1.99710147074441	0.738302145930866	101	90	0.00809601436697709	0.219775367176616
F525	KidneyDisease	KidneyDisease	1.33332468663306	0.49287233709235	101	101	0.00809102266270818	0.219775367176616
