"feature","rho","p","padj","Genus","Phylum"
"Arachnia_propionica_B",-0.212973941032981,0.0324910580359709,0.1055515519256,"Arachnia","Actinomycetota"
"Campylobacter_A_concisus_G",-0.212597049800098,0.0328064977634954,0.106285901473559,"Campylobacter_A","Campylobacterota"
"Kingella_A_denitrificans",0.211867582897745,0.0334243645676984,0.107993395301613,"Kingella_A","Pseudomonadota"
"Nanosyncoccus_sp013333375",-0.211539322791685,0.0337055865706046,0.108606890060837,"Nanosyncoccus","Patescibacteria"
"VGLK01_sp013333495",-0.211247536030744,0.0339572319364822,0.109074362001056,"VGLK01","Patescibacteria"
"Porphyromonas_pasteri",-0.211113800431979,0.0340730969162984,0.109074362001056,"Porphyromonas","Bacteroidota"
"Tannerella_sp002890585",-0.21105301152345,0.0341258727202632,0.109074362001056,"Tannerella","Bacteroidota"
"Stomatobaculum_longum_A",-0.210858487016155,0.0342952178637214,0.109321753458351,"Stomatobaculum","Bacillota_A"
"Streptococcus_parasanguinis_L",-0.21037217574792,0.0347216769245751,0.110385224233475,"Streptococcus","Bacillota"
"Porphyromonas_gingivalis",0.210116862332096,0.0349473475393909,0.110545771188588,"Porphyromonas","Bacteroidota"
"Pauljensenia_pyogenes_A",-0.21010470455039,0.0349581244465173,0.110545771188588,"Pauljensenia","Actinomycetota"
"Actinomyces_denticolens",-0.209891943370537,0.0351471730808913,0.110848776639734,"Actinomyces","Actinomycetota"
"Porphyromonas_sp018127745",0.209709576644949,0.0353098980215419,0.111067377639189,"Porphyromonas","Bacteroidota"
"Streptococcus_oralis_BJ",-0.209454263229125,0.0355387762087184,0.111492361245821,"Streptococcus","Bacillota"
"Streptococcus_mitis_BB",-0.209338764302919,0.0356427250657889,0.111524210797955,"Streptococcus","Bacillota"
"Saccharimonas_sp905373345",-0.209077371996242,0.0358789210962847,0.11196860153145,"Saccharimonas","Patescibacteria"
"Haemophilus_D_sp015255025",-0.208888926379801,0.0360500161303704,0.112208034500027,"Haemophilus_D","Pseudomonadota"
"Treponema_B_sp024181285",0.20853635071033,0.0363719693352977,0.112914547100963,"Treponema_B","Spirochaetota"
"Nanosynbacter_sp022828365",-0.208360062875594,0.0365338486561259,0.113121734510765,"Nanosynbacter","Patescibacteria"
"Neisseria_sp021728675",-0.208153380586594,0.0367244075976814,0.113416417230242,"Neisseria","Pseudomonadota"
"Centipeda_sp000315545",-0.207776489353712,0.0370740439683784,0.113940974197524,"Centipeda","Bacillota_C"
"Mogibacterium_timidum",-0.207727858226888,0.0371193609732392,0.113940974197524,"Mogibacterium","Bacillota_A"
