feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F8	Periodontitis	Periodontitis	-0.567733283865705	0.37703020556708	101	21	0.135435571866022	0.688711685023922
F30	KidneyDisease	KidneyDisease	-1.17319893893419	0.792000876047265	101	65	0.141833213276966	0.688711685023922
F50	Diabetes	Diabetes	-0.676174862301952	0.446998407795705	101	31	0.13367536460378	0.688711685023922
F56	KidneyDisease	KidneyDisease	-0.886312438791082	0.59587140467778	101	15	0.140215021589463	0.688711685023922
F69	Age	Age	-0.0209078198907366	0.0138446813232225	101	23	0.134319152244547	0.688711685023922
F74	Diabetes	Diabetes	0.439066136838282	0.295582364237047	101	101	0.140741590525376	0.688711685023922
F102	Periodontitis	Periodontitis	-1.30555224671963	0.860553633123711	101	68	0.132560310275077	0.688711685023922
F103	Periodontitis	Periodontitis	-0.884644534186168	0.597385416843045	101	22	0.141952801454712	0.688711685023922
F126	Sex	M	1.41310509682862	0.949153669778265	101	76	0.139850871119519	0.688711685023922
F133	Diabetes	Diabetes	-0.499070590882847	0.334049514018715	101	12	0.138489269411668	0.688711685023922
F134	Periodontitis	Periodontitis	-1.35011358840168	0.899305728907253	101	96	0.136598565597694	0.688711685023922
F146	Sex	M	-1.00010800249969	0.673094083673478	101	19	0.140633381510716	0.688711685023922
F171	Periodontitis	Periodontitis	0.90044816338903	0.601034890603149	101	17	0.137406472938228	0.688711685023922
F179	KidneyDisease	KidneyDisease	-0.832281605259592	0.556161815048374	101	20	0.13784519866412	0.688711685023922
F192	Sex	M	0.804473657337643	0.53976868565313	101	33	0.139430763692399	0.688711685023922
F212	Sex	M	0.920023140947528	0.617326584593026	101	88	0.139449108757311	0.688711685023922
F195	Sex	M	0.257646471735174	0.175176576703994	101	12	0.144654778641774	0.698859584577347
F111	KidneyDisease	KidneyDisease	1.06403621559546	0.728450068618766	101	17	0.147401349441181	0.706169644812353
F132	Periodontitis	Periodontitis	-0.974474021598112	0.666680572061378	101	28	0.147128786239821	0.706169644812353
F139	Age	Age	0.0276891913406105	0.0189963064322798	101	20	0.148246120544761	0.707257533432299
