species,category
Bradyrhizobium_oropedii,GTDB_only
Bradyrhizobium_rifense,GTDB_only
Bradyrhizobium_sacchari,GTDB_only
Bradyrhizobium_sp000244915,GTDB_only
Bradyrhizobium_sp000617845,GTDB_only
Bradyrhizobium_sp000938255,GTDB_only
Bradyrhizobium_sp001556045,GTDB_only
Bradyrhizobium_sp003963435,GTDB_only
Bradyrhizobium_sp015291645,GTDB_only
Bradyrhizobium_sp017305715,GTDB_only
Bradyrhizobium_sp018130385,GTDB_only
Bradyrhizobium_sp019748335,GTDB_only
Bradyrhizobium_sp021458635,GTDB_only
Bradyrhizobium_sp021779635,GTDB_only
Bradyrhizobium_sp022835695,GTDB_only
Bradyrhizobium_sp023073355,GTDB_only
Bradyrhizobium_sp023074185,GTDB_only
Bradyrhizobium_sp023101685,GTDB_only
Bradyrhizobium_sp023387695,GTDB_only
Bradyrhizobium_sp023387735,GTDB_only
Bradyrhizobium_sp023388935,GTDB_only
Bradyrhizobium_sp024199795,GTDB_only
Bradyrhizobium_sp024199945,GTDB_only
Bradyrhizobium_sp024586915,GTDB_only
Bradyrhizobium_sp902826195,GTDB_only
Bradyrhizobium_stylosanthis,GTDB_only
Bradyrhizobium_yuanmingense,GTDB_only
Branchiibius_hedensis,GTDB_only
Branchiibius_sp001594145,GTDB_only
Brevibacillus_C_massiliensis,GTDB_only
Brevibacillus_D_fluminis,GTDB_only
Brevibacillus_agri,GTDB_only
Brevibacillus_borstelensis,GTDB_only
Brevibacterium_casei,GTDB_only
Brevibacterium_epidermidis,GTDB_only
Brevibacterium_ihuae,GTDB_only
Brevibacterium_limosum,GTDB_only
Brevibacterium_luteolum,GTDB_only
Brevibacterium_pigmentatum,GTDB_only
Brevibacterium_ravenspurgense,GTDB_only
Brevibacterium_sp004745485,GTDB_only
Brevibacterium_sp016892625,GTDB_only
Brevibacterium_sp018137945,GTDB_only
Brevibacterium_sp021023135,GTDB_only
Brevibacterium_sp022748595,GTDB_only
Brevilactibacter_soli,GTDB_only
Brevilactibacter_sp014164685,GTDB_only
Brevundimonas_abyssalis,GTDB_only
Brevundimonas_albigilva,GTDB_only
Brevundimonas_aurantiaca,GTDB_only
Brevundimonas_bacteroides,GTDB_only
Brevundimonas_bullata,GTDB_only
Brevundimonas_diminuta,GTDB_only
Brevundimonas_huaxiensis,GTDB_only
Brevundimonas_intermedia,GTDB_only
Brevundimonas_mediterranea_A,GTDB_only
Brevundimonas_naejangsanensis,GTDB_only
Brevundimonas_sp000335735,GTDB_only
