species,category
Porphyromonas_sp905372565,shared
Porphyromonas_uenonis,shared
Porphyromonas_uenonis_A,shared
Prevotella_aurantiaca,shared
Prevotella_baroniae,shared
Prevotella_buccae,shared
Prevotella_conceptionensis,shared
Prevotella_copri,shared
Prevotella_denticola,shared
Prevotella_disiens,shared
Prevotella_enoeca,shared
Prevotella_fusca,shared
Prevotella_histicola,shared
Prevotella_intermedia,shared
Prevotella_jejuni,shared
Prevotella_koreensis,shared
Prevotella_loescheii,shared
Prevotella_maculosa,shared
Prevotella_marshii,shared
Prevotella_melaninogenica,shared
Prevotella_melaninogenica_A,shared
Prevotella_micans,shared
Prevotella_multiformis,shared
Prevotella_multisaccharivorax,shared
Prevotella_nanceiensis,shared
Prevotella_nigrescens,shared
Prevotella_oralis,shared
Prevotella_oris,shared
Prevotella_oulorum,shared
Prevotella_pallens,shared
Prevotella_pleuritidis,shared
Prevotella_saccharolytica,shared
Prevotella_salivae,shared
Prevotella_scopos,shared
Prevotella_seregens,shared
Prevotella_shahii,shared
Prevotella_sp000163055,shared
Prevotella_sp000467895,shared
Prevotella_sp000599605,shared
Prevotella_sp003043945,shared
Prevotella_sp013333285,shared
Prevotella_sp013333935,shared
Prevotella_sp015256945,shared
Prevotella_sp018127805,shared
Prevotella_sp905372445,shared
Prevotella_sp905373605,shared
Prevotella_timonensis,shared
Prevotella_veroralis,shared
Propionibacterium_acidifaciens,shared
Proteus_mirabilis,shared
Pseudoleptotrichia_goodfellowii,shared
Pseudomonas_E_helleri,shared
Pseudomonas_E_juntendi,shared
Pseudomonas_E_simiae,shared
Pseudomonas_aeruginosa,shared
Pseudoramibacter_alactolyticus,shared
Psychrobacter_sanguinis,shared
Pyramidobacter_piscolens,shared
QFNR01_sp003248485,shared
Ralstonia_pickettii_B,shared
Rodentibacter_sp901420285,shared
Rothia_aeria,shared
Rothia_dentocariosa,shared
Rothia_mucilaginosa,shared
Rothia_mucilaginosa_A,shared
Rothia_mucilaginosa_B,shared
Rothia_sp001808955,shared
Rothia_sp015265375,shared
Rothia_sp902373285,shared
SDRK01_sp007845205,shared
SDRW01_sp007845485,shared
SDRW01_sp013333595,shared
Saccharimonas_sp010202265,shared
Saccharimonas_sp013333625,shared
Saccharimonas_sp013333645,shared
Saccharimonas_sp013333675,shared
Saccharimonas_sp013333795,shared
Saccharimonas_sp013333845,shared
Saccharimonas_sp015257605,shared
Saccharimonas_sp015257665,shared
Saccharimonas_sp018127705,shared
Saccharimonas_sp905365145,shared
Saccharimonas_sp905371595,shared
Saccharimonas_sp905371715,shared
Saccharimonas_sp905372095,shared
Saccharimonas_sp905372275,shared
Saccharimonas_sp905373345,shared
Saccharimonas_sp905373835,shared
Scardovia_inopinata,shared
Scardovia_wiggsiae,shared
Selenomonas_sp905372355,shared
Selenomonas_sp905373085,shared
Serratia_marcescens_K,shared
Shuttleworthia_satelles,shared
Simonsiella_muelleri,shared
Slackia_exigua,shared
Sneathia_vaginalis,shared
Sphingobium_yanoikuyae,shared
Sphingomonas_echinoides,shared
Staphylococcus_aureus,shared
Staphylococcus_epidermidis,shared
Staphylococcus_hominis,shared
Stenotrophomonas_maltophilia,shared
Stomatobaculum_longum,shared
Stomatobaculum_longum_A,shared
Streptococcus_agalactiae,shared
Streptococcus_anginosus,shared
Streptococcus_anginosus_C,shared
Streptococcus_australis,shared
Streptococcus_australis_B,shared
Streptococcus_chosunense,shared
Streptococcus_constellatus,shared
Streptococcus_cristatus,shared
Streptococcus_cristatus_B,shared
Streptococcus_cristatus_C,shared
Streptococcus_cristatus_D,shared
